THRD_L	Sds	Sdsl	SDS	SDSL
r1154	Bckdha	Bckdhb	Dbt	Dld	PCCA	PCCB
2HBO	Ldhb	LDHB
METAT	Mat2a	MAT2A
METAT2_mitoMap	N/A
AHC	Ahcy	Ahcyl1	Ahcyl2	AHCY	AHCYL1	AHCYL2
ADNK1	Adk	ADK
CYSTS	Cbs	CBS
CYSTGL	Cth	CTH
CYSO	Cdo1	CDO1
3SALATAi	Got1	GOT1
3SPYRSP	Non-Enzymatic
CYSTA	Got1	GOT1
CYSTAm	Got2	GOT2
MCPST	Mpst	MPST
MCPSTm_mitoMap	Mpst	MPST
r0595m_mitoMap	Mpst	MPST
r0595B_mitoMap	Mpst	MPST
MCLOR	Ldhb	LDHB
r0193	Cth	CTH
TRPO2	Tdo2	Ido1	TDO2	IDO1
FKYNH	Afmid	AFMID
KYN3OX	Kmo	KMO
HKYNH	Kynu	KYNU
3HAO	Haao	HAAO
PCLAD	Acmsd	ACMSD
2OXOADPTmB_mitoMap	Slc25a21	SLC25A21
2OXOADPTmC_mitoMap	Slc25a21	SLC25A21
2OXOADOXm	Dhtkd1	Dlst	Dld	OGDH	DLST	DLD
r0541	Gcdh	GCDH
SACCD3m	Aass	AASS
r0525	Aass	AASS
AASAD3m	Aldh7a1	ALDH7A1
R03103_mitoMap	Aldh7a1	ALDH7A1
r0450	Aadat	AADAT
PPD2CSPc_mitoMap	Non-Enzymatic
LPCOXc_mitoMap	Pipox	PIPOX
r0594	Aldh7a1	ALDH7A1
2AMADPTmB_mitoMap	Slc25a21	SLC25A21
2AMADPTmC_mitoMap	Slc25a21	SLC25A21
PROD2mB_mitoMap	Prodh	PRODH
G5SADrm	Non-Enzymatic
r0074	Aldh4a1	ALDH4A1
GLU5Km	Aldh18a1 ALDH18A1
G5SDym	Aldh18a1	ALDH18A1
P5CRm	Pycr1	PYCR1
P5CRxm	Pycr1	PYCR1
ORNTArm	Oat	OAT
ORNDC	Odc1	ODC1
PTRCOX1	Aoc1	AOC1
r0464c_mitoMap	Aldh7a1	Aldh9a1	ALDH7A1	ALDH9A1
ABUTD	Aldh7a1	Aldh9a1	ALDH7A1	ALDH9A1
ARGDCm	Azin2	AZIN2
AGMTm	AGMAT	AGMAT
PTRCAT1m_mitoMap	Sat2	SAT2
APRTO2m_mitoMap	Maob	MAOB
NABTNOm	Aldh1b1	Aldh3a2	Aldh7a1	Aldh9a1	ALDH1B1	ALDH3A2	ALDH7A1	ALDH9A1
GLUDC	Gad2	GAD2
ABTArm	Abat	ABAT
r0178	Aldh5a1	ALDH5A1
GLUDxm	Glud1	GLUD1	GLUD2
GLUDym	Glud1	GLUD1	GLUD2
GLUDxi	Glud1	GLUD1
GLUDy	Glud1	GLUD1
GLNS	Glul	GLUL
GLUNm	Gls	Gls2	GLS	GLS2
GLUN_mitoMap	Gls	Cad	GLS	CAD
PGCD	Phgdh	PHGDH
PSERT	Psat1	PSAT1
PSP_L	Psph	PSPH
GHMT2r	Shmt1	SHMT1
FOLR2	Dhfr	DHFR
DHFR	Dhfr	DHFR
MTHFD	Mthfd1	MTHFD1
MTHFC	Mthfd1	Mthfd2l	MTHFD1	MTHFD2L
FTCD	Ftcd	FTCD
FTHFL	Mthfd1	MTHFD1
FTHFDH	Aldh1l1	ALDH1L1
r0060	Sds	Srr	Sdsl	SDS	SRR	SDSL
GHMT2rm	Shmt2	SHMT2
GCCam	Gldc	GLDC
GCCbim	Amt	AMT
GCCcm	Dld	DLD
r0514	Dhfr	DHFRL1
r0226	Dhfr or
MTHFDm	Mthfd2l	MTHFD2L
MTHFD2m	Mthfd2l	Mthfd2	MTHFD2L	MTHFD2
MTHFCm	Mthfd2l	Mthfd2	MTHFD2L	MTHFD2
FTHFLm	Mthfd1l	MTHFD1L
FTHFDHm_mitoMap	Aldh1l2	ALDH1L2
GLYATm	Gcat	GCAT
AOBUTDsm	Non-enzymatic
AACTOORm_mitoMap	Maob	MAOB
LGTHLm_mitoMap	Glo1	GLO1
GLYOXm	Hagh	HAGH
LDH_Dm_mitoMap	Ldhd	LDHD
CBPSam	Cps1	CPS1
OCBTm	Otc	OTC
NOS1	Nos2	NOS2
NOS2	Nos2	NOS2
r0129	Ggt6	Ggt7	GGT6	GGT7
AMPTASECG	Anpep	ANPEP
GLUCYS	Gclc	GCLC
GTHS	Gss	GSS
r0399	Pah	PAH
DHPR	Qdpr	QDPR
TYRTA	Got1	GOT1
TYRTB_mitoMap	Il4i1	IL4I1
34HPPOR	Hpd	HPD
HGNTOR	Hgd	HGD
MACACI	Gstz1	GSTZ1
FUMAC	Fah	FAH
ASNS1	Asns	ASNS
r0127	Aspg	ASPG
HISD	Hal	HAL
URCN	Uroc1	UROC1
IZPN	Amdhd1	AMDHD1
GluForTx	Ftcd	FTCD
APAT2rm	Abat	ABAT
MMSAD3m	Aldh6a1	ALDH6A1
MMSAD3m2_mitoMap	Aldh6a1	ALDH6A1
ASP1DC	Gadl1	GADL1
CKc	Ckb	Ckm	CKB	CKM
CK	Ckmt2	CKMT2
ACOAHi	Acot12	ACOT12
ALCD2yf	Akr1a1	AKR1A1
ALCD2if	Adh1	Adh5	ADH1C	ADH5
ACALDtm	N/A
ALDD2xm	Aldh1b1	Aldh3a2	Aldh7a1	Aldh9a1
