	log2FoldChange	scaled_expression	discretization
MXAN_6714	1.00333258138346	0.48540295764207086	1
MXAN_7084	0.287173353988413	0.38702359497143773	0
MXAN_4963	-0.0274485422277549	0.3438037348510028	0
MXAN_6822	0.280951248800192	0.38616885943292717	0
MXAN_1160	0.0521542757319093	0.3547388372669049	0
MXAN_2336	1.51963637778693	0.5563280208006623	1
MXAN_2337	1.22504021196126	0.5158591111916062	1
MXAN_3799	0.684082014840026	0.44154725339732676	0
MXAN_3757	-0.123173606469772	0.3306539066403271	0
MXAN_2079	0.0831125360519359	0.35899159810998454	0
MXAN_3530	1.55367577363558	0.5610040396819164	1
MXAN_6869	-0.0931973984108511	0.33477176218321497	0
MXAN_4159	-0.2611546946021	0.31169933481914897	-1
MXAN_4395	0.378223449800781	0.39953121905065625	0
MXAN_1048	0.336491161444047	0.39379842140695875	0
MXAN_1357	-0.396630577311592	0.2930889050594424	-1
MXAN_0896	0.061953722324661	0.35608499503942503	0
MXAN_2705	-0.912123179336867	0.22227527631777405	-1
MXAN_3222	-0.479954265561031	0.2816426637324078	-1
MXAN_5465	-0.66574289728444	0.2561207316239836	-1
MXAN_1686	0.557098548903437	0.42410343368423026	0
MXAN_1062	0.148098023865521	0.36791870625770107	0
MXAN_5851	0.387563354656585	0.40081424920927144	0
MXAN_1633	-0.0465048596094651	0.34118595337567204	0
MXAN_2367	3.16873629019609	0.7828661873940487	1
MXAN_6984	0.950225926558461	0.478107654229928	1
MXAN_3661	-0.264251669638132	0.31127390089524365	-1
MXAN_3054	0.592268667150009	0.4289347808006167	0
MXAN_4161	-0.826096608148178	0.2340928148239345	-1
MXAN_6704	-0.685223339602204	0.25344468776885565	-1
MXAN_6182	-0.649432021104263	0.25836136965784956	-1
MXAN_2615	-0.684179916253319	0.2535880236641877	-1
MXAN_3980	1.33351231303594	0.5307600099904497	1
MXAN_1523	-1.69545611605251	0.11466820777058559	-1
MXAN_2839	0.441676636443322	0.4082478337677776	0
MXAN_5385	0.886043693586067	0.4692908898386215	1
MXAN_0262	-0.0825776564649679	0.33623060458082366	0
MXAN_4594	-0.667433051170973	0.25588855384031217	-1
MXAN_1390	0.317252915605906	0.3911556482748697	0
MXAN_1237	0.402770119645353	0.40290321461060924	0
MXAN_1079	0.682669074441559	0.4413531566509951	0
MXAN_4566	-1.3792158700272	0.15811038189147075	-1
MXAN_6424	-0.32463337933539	0.3029792174090213	-1
MXAN_0517	-0.159255546302321	0.32569730186745	0
MXAN_4417	-0.318756799572857	0.3037864878449886	-1
MXAN_5306	-1.10208493582201	0.1961800787416999	-1
MXAN_3439	1.27052856902053	0.5221078829803926	1
MXAN_0112	-0.580921901815093	0.26777265923471305	-1
MXAN_0328	-0.670384109947362	0.25548316454904973	-1
MXAN_1748	1.14358269236789	0.504669226937129	1
MXAN_4313	2.36413111609755	0.6723369346785154	1
MXAN_5140	-0.475204091910373	0.28229519886489	-1
MXAN_2236	2.09307084147662	0.6351011691637273	1
MXAN_5361	-0.893682384112101	0.22480850302484462	-1
MXAN_4364	-0.714270649734671	0.2494544356729318	-1
MXAN_5325	0.297391162921102	0.38842722351134307	0
