reaction_id	flux_value	classification	y_f	y_r	c_value
rxn03918_c	0.0	moderate	0.0	0.0	0.0650703694975807
rxn05161_c	0.0	low	1.0	0.0	
rxn00549_c	1.0	moderate	1.0	0.0	0.8247704299458507
rxn03951_c	0.0	low	1.0	0.0	
rxn01022_c	0.0	moderate	0.0	0.0	0.3095367757702174
rxn05418_c	0.0	low	1.0	0.0	
rxn00506_c	0.0	low	1.0	0.0	
rxn01894_c	0.0	moderate	0.0	0.0	0.0838765202504649
rxn10060_c	0.0	low	1.0	0.0	
rxn02933_c	0.0	high	0.0	0.0	1.0011985901462528
rxn00727_c	0.0	low	1.0	0.0	
rxn10307_c	0.0	high	0.0	0.0	1.0579979408010238
rxn05617_c	0.0	moderate	0.0	0.0	0.0772462869039078
rxn03852_c	0.0	moderate	0.0	0.0	0.32425094815650346
rxn12638_c	0.0	moderate	0.0	0.0	0.40293791449304434
rxn01354_c	0.0	low	1.0	0.0	
rxn02268_c	0.0	moderate	0.0	0.0	0.5276378124934911
rxn00305_c	4.0	high	1.0	0.0	1.135915047241065
rxn01445_c	0.0	low	1.0	0.0	
rxn05248_c	0.0	low	1.0	0.0	
rxn00612_c	0.0	low	1.0	0.0	
rxn08766_c	0.0	low	1.0	0.0	
rxn05539_c	0.0	low	1.0	0.0	
rxn08841_c	0.0	low	1.0	0.0	
rxn05461_c	0.0	low	1.0	0.0	
rxn03586_c	0.0	low	1.0	0.0	
rxn02159_c	0.0	low	1.0	0.0	
rxn10222_c	0.0	low	1.0	0.0	
rxn00269_c	1.0	high	1.0	0.0	1.1957634559623151
rxn10263_c	0.0	low	1.0	0.0	
rxn02791_c	0.0	moderate	0.0	0.0	0.5925016958464195
rxn05466_c	-471.27273	moderate	0.0	1.0	0.8539340603491536
rxn08814_c	0.0	low	1.0	0.0	
rxn00917_c	1.0	moderate	1.0	0.0	0.8443248085608969
rxn08845_c	0.0	low	1.0	0.0	
rxn00395_c	1.0	high	1.0	0.0	1.262830524989821
rxn01438_c	0.0	moderate	0.0	0.0	0.38372826671476074
rxn00300_c	0.0	low	1.0	0.0	
rxn01925_c	0.0	low	1.0	0.0	
rxn02798_c	0.0	moderate	0.0	0.0	0.47765666147228925
rxn00999_c	0.0	moderate	0.0	0.0	0.25232777662403666
rxn05174_c	0.0				
rxn08799_c	0.0	low	1.0	0.0	
rxn00433_c	0.0				
rxn05957_c	0.0	low	1.0	0.0	
rxn05335_c	0.0	moderate	0.0	0.0	0.11723386591098567
rxn03419_c	0.0	low	1.0	0.0	
rxn08551_c	0.0	low	1.0	0.0	
rxn10256_c	0.0	moderate	0.0	0.0	0.1463420475613635
rxn00679_c	0.0	high	0.0	0.0	1.0107935788858915
rxn01516_c	0.0	low	1.0	0.0	
rxn00758_c	0.0	low	1.0	0.0	
rxn10314_c	0.0	high	0.0	0.0	1.0579979408010238
rxn09111_c	0.0	low	1.0	0.0	
rxn06078_c	0.0	low	1.0	0.0	
rxn00471_c	0.0	low	1.0	0.0	
rxn05607_c	0.0	moderate	0.0	0.0	0.0772462869039078
rxn05595_c	1.0	moderate	1.0	0.0	0.04003063754584898
rxn05348_c	0.0	moderate	0.0	0.0	0.6920181288816155
rxn05435_c	0.0	low	1.0	0.0	
rxn03245_c	0.0	low	1.0	0.0	
rxn01504_c	0.0	low	1.0	0.0	
rxn00907_c	0.0	low	1.0	0.0	
rxn05458_c	0.0	low	1.0	0.0	
rxn08300_c	0.0	moderate	0.0	0.0	0.1463420475613635
rxn02404_c	0.0	low	1.0	0.0	
rxn01644_c	0.0	low	1.0	0.0	
rxn08297_c	0.0	moderate	0.0	0.0	0.1463420475613635
rxn02911_c	0.0	low	1.0	0.0	
rxn05450_c	0.0	low	1.0	0.0	
rxn12847_c	0.0	moderate	0.0	0.0	0.40293791449304434
rxn05410_c	0.0	low	1.0	0.0	
rxn05443_c	0.0	low	1.0	0.0	
rxn09114_c	0.0	low	1.0	0.0	
rxn09188_c	-4.0	high	0.0	1.0	1.1328847608934438
rxn08822_c	0.0	low	1.0	0.0	
rxn05030_c	0.0	low	1.0	0.0	
rxn10208_c	0.0	low	1.0	0.0	
rxn01620_c	0.0	low	1.0	0.0	
rxn05345_c	0.0	moderate	0.0	0.0	0.6920181288816155
rxn02071_c	0.0	high	0.0	0.0	1.1957634559623151
rxn01522_c	0.0	low	1.0	0.0	
rxn00336_c	1.0	high	1.0	0.0	1.0098723122479847
rxn05422_c	0.0	low	1.0	0.0	
rxn03891_c	0.0	high	0.0	0.0	1.0722930193361673
rxn01465_c	0.0	moderate	0.0	0.0	0.8236150080258733
rxn10204_c	0.0	low	1.0	0.0	
rxn01833_c	0.0	moderate	0.0	0.0	0.11318871469684233
