reaction_id	flux_value	classification	y_f	y_r
rxn05030_c	1.7011581	moderate		
rxn10208_c	0.0	moderate		
rxn01620_c	0.0	low	1.0	0.0
rxn05345_c	-44.710096	low	0.0	0.0
rxn00336_c	0.0	low	1.0	0.0
rxn05422_c	0.0	high	0.0	0.0
rxn03891_c	0.0	high	0.0	0.0
rxn01465_c	-9.1090658	high	0.0	1.0
rxn10204_c	-989.47743	moderate		
rxn01833_c	0.0	low	1.0	0.0
rxn05145_c	38.051079	low	0.0	0.0
rxn01872_c	276.90748	high	1.0	0.0
rxn01301_c	0.0	low	1.0	0.0
rxn01643_c	-62.558679	high	0.0	1.0
rxn00248_c	-240.90586	high	0.0	1.0
rxn08844_c	0.0	high	0.0	0.0
rxn05385_c	0.0	high	0.0	0.0
rxn00707_c	1.0	moderate		
rxn00369_c	1000.0	moderate		
rxn01637_c	-1.0	high	0.0	1.0
rxn00566_c	1.0	high	1.0	0.0
rxn00708_c	0.0	low	1.0	0.0
rxn07433_c	0.0	high	0.0	0.0
rxn01269_c	7.2614052	low	0.0	0.0
rxn00392_c	0.084849817	moderate		
rxn00747_c	42.363149	high	1.0	0.0
rxn01334_c	1.0	high	1.0	0.0
rxn00830_c	1.9557076	high	1.0	0.0
rxn01108_c	0.0	low	1.0	0.0
rxn05219_c	0.0	low	1.0	0.0
rxn03406_c	0.0	high	0.0	0.0
rxn00029_c	0.33939927	low	0.0	0.0
rxn00609_c	0.0	high	0.0	0.0
rxn06673_c	0.0	moderate		
rxn12646_c	0.0	high	0.0	0.0
rxn06777_c	90.143549	high	1.0	0.0
rxn05256_c	0.0	low	1.0	0.0
rxn05448_c	0.0	moderate		
rxn05446_c	0.0	moderate		
rxn02175_c	0.16969963	low	0.0	0.0
rxn02835_c	0.0	low	1.0	0.0
rxn02774_c	0.084849817			
rxn01675_c	0.0	high	0.0	0.0
rxn08839_c	0.0	high	0.0	0.0
rxn01575_c	982.35056	high	1.0	0.0
rxn01454_c	0.0	low	1.0	0.0
rxn05150_c	0.0	low	1.0	0.0
rxn10335_c	0.0			
rxn05398_c	0.0	low	1.0	0.0
rxn01315_c	0.0			
rxn03240_c	-141.65828	low	0.0	0.0
rxn09562_c	1.0	high	1.0	0.0
rxn01501_c	-20.749135	high	0.0	1.0
rxn00555_c	6.8046324	moderate		
rxn03080_c	0.33939927	moderate		
rxn10237_c	0.0	high	0.0	0.0
rxn10011_c	-199.01506	high	0.0	1.0
rxn12644_c	0.0	high	0.0	0.0
rxn00147_c	0.0			
rxn00737_c	0.0	low	1.0	0.0
rxn08843_c	0.0	high	0.0	0.0
rxn01256_c	15.170131	low	0.0	0.0
rxn00213_c	1.22741	high	1.0	0.0
rxn01629_c	-0.67879853	moderate		
rxn00777_c	-22.30035	low	0.0	0.0
rxn05164_c	4.0569256	moderate		
rxn01740_c	-18.010302			
rxn00190_c	1.0	high	1.0	0.0
rxn05327_c	0.0	moderate		
rxn01444_c	0.33333333	moderate		
rxn05655_c	0.0	high	0.0	0.0
rxn02314_c	1000.0	moderate		
rxn08801_c	-989.47743	high	0.0	1.0
rxn02275_c	0.0	low	1.0	0.0
rxn00251_c	630.7818	moderate		
rxn00139_c	0.0	low	1.0	0.0
rxn00790_c	-13.536694	moderate		
rxn07976_c	0.0	low	1.0	0.0
rxn00237_c	-1000.0	high	0.0	1.0
rxn00463_c	-1000.0	moderate		
rxn01489_c	0.0	low	1.0	0.0
rxn10342_c	0.0			
rxn08311_c	5.2612875	moderate		
rxn03175_c	0.0	low	1.0	0.0
rxn10264_c	0.0	moderate		
rxn03421_c	0.0	low	1.0	0.0
rxn10227_c	0.0	moderate		
rxn01146_c	-1.3333333	high	0.0	1.0
rxn05336_c	0.0	high	0.0	0.0
rxn09210_c	1.3153219	moderate		
rxn00285_c	-686.68393	high	0.0	1.0
rxn00182_c	1000.0	moderate		
rxn05567_c	0.0	high	0.0	0.0
rxn01642_c	0.0	moderate		
rxn00132_c	0.0	low	1.0	0.0
rxn01045_c	-0.83030037	moderate		
rxn08893_c	0.0	low	1.0	0.0
rxn06864_c	0.0	moderate		
rxn00712_c	981.85889	moderate		
rxn08615_c	878.40546	moderate		
rxn08815_c	0.0	high	0.0	0.0
rxn00126_c	1.927282	high	1.0	0.0
rxn01518_c	0.0	moderate		
rxn12844_c	0.0	high	0.0	0.0
rxn08798_c	0.0	high	0.0	0.0
rxn08119_c	0.0	low	1.0	0.0
rxn08306_c	0.0	moderate		
rxn08821_c	0.0	high	0.0	0.0
rxn00206_c	0.0	high	0.0	0.0
rxn05381_c	0.0	low	1.0	0.0
rxn01871_c	-1000.0	moderate		
rxn05340_c	0.0	high	0.0	0.0
rxn02143_c	0.0	high	0.0	0.0
rxn00405_c	0.0	high	0.0	0.0
rxn04704_c	0.0	low	1.0	0.0
rxn00299_c	0.25454945	low	0.0	0.0
rxn08546_c	43.008938	low	0.0	0.0
rxn00756_c	0.0	moderate		
rxn05389_c	0.0	high	0.0	0.0
rxn05735_c	0.0	low	1.0	0.0
rxn02484_c	0.0	low	1.0	0.0
rxn01133_c	0.0	low	1.0	0.0
rxn12639_c	0.0	high	0.0	0.0
rxn03159_c	1.7011581	low	0.0	0.0
rxn00875_c	-944.84228	high	0.0	1.0
rxn01000_c	7.9087258	low	0.0	0.0
rxn00647_c	0.0	low	1.0	0.0
rxn03397_c	0.084849817	high	0.0	0.0
rxn08120_c	0.0	low	1.0	0.0
rxn00363_c	0.0	low	1.0	0.0
rxn08128_c	1.0	moderate		
rxn05188_c	0.0	low	1.0	0.0
rxn01670_c	0.0	low	1.0	0.0
rxn01706_c	997.66667	moderate		
rxn03055_c	0.0	moderate		
rxn09359_c	0.0	low	1.0	0.0
rxn11703_c	0.16969963	moderate		
rxn01300_c	10.803274	low	0.0	0.0
rxn00601_c	0.0	high	0.0	0.0
rxn00411_c	0.0	moderate		
rxn00321_c	0.0	moderate		
rxn00786_c	-35.301518	high	0.0	1.0
rxn09197_c	0.0	high	0.0	0.0
rxn00740_c	0.0	low	1.0	0.0
rxn01100_c	95.359778	high	1.0	0.0
rxn00838_c	8.6686191	high	1.0	0.0
rxn00102_c	0.0	low	1.0	0.0
rxn00831_c	0.0	low	1.0	0.0
rxn12634_c	0.0	high	0.0	0.0
rxn00883_c	0.0	low	1.0	0.0
rxn01255_c	18.010302	low	0.0	0.0
rxn10014_c	90.143549	high	1.0	0.0
rxn05406_c	0.0	low	1.0	0.0
rxn10299_c	0.0	low	1.0	0.0
OF_PROTEIN	28.857039	low	0.0	0.0
rxn00776_c	0.0	high	0.0	0.0
rxn05251_c	0.0	low	1.0	0.0
rxn03126_c	0.0	moderate		
rxn05485_c	0.0	high	0.0	0.0
rxn00214_c	0.0	low	1.0	0.0
rxn01211_c	0.0	low	1.0	0.0
rxn00527_c	-6.2614052	low	0.0	0.0
rxn05322_c	0.0	moderate		
rxn05193_c	0.0	low	1.0	0.0
rxn12848_c	0.0	low	1.0	0.0
rxn05151_c	14.609491	moderate		
rxn00792_c	0.0	moderate		
rxn08804_c	0.0	high	0.0	0.0
rxn08442_c	0.0	moderate		
rxn05430_c	0.0	high	0.0	0.0
rxn01917_c	1.0	moderate		
rxn10236_c	0.0	high	0.0	0.0
rxn08527_c	0.0	low	1.0	0.0
rxn05501_c	0.0	high	0.0	0.0
rxn03253_c	-866.84751	high	0.0	1.0
rxn01509_c	1.0	high	1.0	0.0
rxn02011_c	1.7011581	high	1.0	0.0
rxn01548_c	0.0	moderate		
rxn08528_c	276.90748	low	0.0	0.0
rxn01145_c	0.0	low	1.0	0.0
rxn09176_c	0.0	low	1.0	0.0
rxn09205_c	0.0	moderate		
rxn03269_c	0.0	low	1.0	0.0
rxn03916_c	0.0	low	1.0	0.0
rxn05364_c	0.0	high	0.0	0.0
rxn09201_c	0.0	high	0.0	0.0
rxn01669_c	1.8303004	low	0.0	0.0
rxn00508_c	0.0	low	1.0	0.0
rxn10122_c	0.0	low	1.0	0.0
rxn00187_c	86.65316	high	1.0	0.0
rxn00728_c	0.0	moderate		
rxn08850_c	0.0	high	0.0	0.0
rxn00500_c	0.0	low	1.0	0.0
rxn05734_c	0.0	low	1.0	0.0
rxn00772_c	0.0	moderate		
rxn08812_c	0.0	high	0.0	0.0
rxn00006_c	-1.0	high	0.0	1.0
rxn02503_c	0.0	low	1.0	0.0
rxn05338_c	0.0	high	0.0	0.0
rxn03135_c	0.0	low	1.0	0.0
rxn08310_c	0.0	moderate		
rxn00915_c	0.33333333	high	0.0	0.0
rxn01967_c	0.0	low	1.0	0.0
rxn01515_c	1000.0	moderate		
rxn01927_c	0.0	low	1.0	0.0
rxn10224_c	0.0	moderate		
rxn05337_c	0.0	high	0.0	0.0
rxn00994_c	944.84228	high	1.0	0.0
rxn01653_c	1.0	high	1.0	0.0
rxn00474_c	0.0	low	1.0	0.0
rxn03147_c	13.451844	moderate		
rxn08073_c	0.0	low	1.0	0.0
rxn03843_c	1.7011581	moderate		
rxn05376_c	0.0	high	0.0	0.0
rxn01802_c	0.0	low	1.0	0.0
rxn02317_c	-1000.0	moderate		
rxn01116_c	-24.042065			
rxn02811_c	0.0	low	1.0	0.0
rxn03062_c	0.0	low	1.0	0.0
rxn10258_c	0.0	low	1.0	0.0
rxn00829_c	20.749135	moderate		
rxn08847_c	0.0	high	0.0	0.0
rxn05608_c	0.0	low	1.0	0.0
rxn01544_c	-1.5090989	moderate		
rxn00863_c	0.0	low	1.0	0.0
rxn09113_c	3.9459656	moderate		
rxn00711_c	0.0	low	1.0	0.0
rxn08299_c	0.0	low	1.0	0.0
rxn08711_c	0.0	low	1.0	0.0
rxn01138_c	-998.15757	moderate		
rxn02402_c	-0.16969963	moderate		
rxn01607_c	20.749135	moderate		
