"","gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Gene_name","GeneID","orgdb_symbol","orgdb_old_MXAN","orgdb_Name","iMat"
"1146","WP_011551595.1",446.184414078509,0.258418020638151,0.296480545069797,0.871618812550802,0.383416364237824,0.529271267220121,"MXAN_RS07180",41358925,"MXAN_RS07180","MXAN_1479","RNase J family beta-CASP ribonuclease",0
"1147","WP_011551596.1",250.960875635145,-0.844629999894177,0.443507622937272,-1.90443175316885,0.0568539770496357,0.132358363462513,"MXAN_RS07185",41358926,"MXAN_RS07185","MXAN_1480","serine/threonine protein kinase",-1
"1148","WP_011551597.1",201.367016350429,0.713977724755615,0.346758155820595,2.05900773426945,0.0394934975793073,0.101437718249411,"MXAN_RS07190",41358927,"MXAN_RS07190","MXAN_1481","acyl dehydratase",0
"1149","WP_011551598.1",376.163130530927,-0.573241971261826,0.310148638424827,-1.84828143748491,0.064561639624968,0.145723635327761,"MXAN_RS07195",41358928,"MXAN_RS07195","MXAN_1482","polysaccharide deacetylase",0
"1150","WP_011551599.1",121.876164489597,1.04433091297266,0.363968918609199,2.86928597354759,0.00411399652216244,0.0173162505079563,"MXAN_RS07200",41358929,"MXAN_RS07200","MXAN_1483","hypothetical protein",0
"1151","WP_011551601.1",84.8452657646038,-0.714216197304341,0.45732202566221,-1.56173583870172,0.118350232280314,0.227680471983151,"MXAN_RS07210",41358931,"MXAN_RS07210","MXAN_1485","hypothetical protein",0
"1152","WP_011551602.1",57.8217822954993,0.631773988516239,0.646352374964989,0.977445141360332,0.328348824098199,0.47504760589139,"MXAN_RS07215",41358932,"MXAN_RS07215","MXAN_1486","HNH endonuclease",0
"1153","WP_011551604.1",399.520336240645,0.228782505928176,0.302614540980683,0.756019539532901,0.449637480670586,0.592211750630927,"MXAN_RS07255",41358940,"MXAN_RS07255","MXAN_1493","hypothetical protein",0
"1154","WP_011551606.1",145.113377845022,0.657136298868735,0.418983101611303,1.56840764303275,0.116786028549417,0.225616070292692,"MXAN_RS07260",41358941,"MXAN_RS07260","MXAN_1495","hypothetical protein",0
"1155","WP_011551612.1",148.243660372798,-0.241779205493221,0.440628746736576,-0.548714098396685,0.583201669402884,0.708166115216789,"MXAN_RS07290",41358947,"MXAN_RS07290","MXAN_1501","peptidase S8",0
"1156","WP_011551614.1",168.58972116175,-0.264313757433574,0.558212015933476,-0.473500659049004,0.635856030903963,0.752091299169105,NA,NA,NA,NA,NA,-1
"1157","WP_011551615.1",585.973407198514,0.209574565080996,0.266758382058037,0.785634413674771,0.432081697115869,0.574691174450001,"MXAN_RS07305",41358950,"MXAN_RS07305","MXAN_1504","GMC family oxidoreductase",0
"1158","WP_011551616.1",34.150528255824,1.25829263743019,0.777357471119091,1.61867954471286,0.105516230264908,0.209740565207928,"MXAN_RS07310",41358951,"MXAN_RS07310","MXAN_1505","DUF2267 domain-containing protein",1
"1159","WP_011551618.1",66.675369520396,0.991647175130843,0.55009989564966,1.8026674481727,0.0714404573506019,0.157729437590157,"MXAN_RS07320",41358953,"MXAN_RS07320","MXAN_1507","hypothetical protein",0
"1160","WP_011551619.1",166.540526500397,1.3753105118323,0.426802978762439,3.22235452953061,0.0012714170884628,0.00659739093117254,"MXAN_RS07325",41358954,"MXAN_RS07325","MXAN_1508","VWA domain-containing protein",1
"1161","WP_011551620.1",83.0624599878952,-0.0393181098767788,0.464501301037553,-0.0846458552192516,0.932542942664883,0.958412142864087,"MXAN_RS07330",41358955,"MXAN_RS07330","MXAN_1509","metallophosphatase",0
"1162","WP_011551621.1",1489.72517067629,-0.580093534820976,0.3110431853652,-1.8649935511041,0.0621823081517561,0.141558733225554,"MXAN_RS07335",41358956,"MXAN_RS07335","MXAN_1510","DNA-directed RNA polymerase sigma-70 factor",0
"1163","WP_011551622.1",1128.85522958597,-0.605575254253001,0.311517898778751,-1.94395011210286,0.0519014673701411,0.123931784227769,"MXAN_RS07340",41358957,"MXAN_RS07340","MXAN_1511","hypothetical protein",0
"1164","WP_011551623.1",1457.98701516808,0.083330317799979,0.282463795295815,0.29501238455254,0.767984419027148,0.848040373796116,"MXAN_RS07345",41358958,"MXAN_RS07345","MXAN_1512","hypothetical protein",0
"1165","WP_011551624.1",40.5531970444617,-1.15752756806975,0.568954344120918,-2.03448234472702,0.041902986915863,0.106237484487569,"MXAN_RS07350",41358959,"MXAN_RS07350","MXAN_1513","hypothetical protein",-1
"1166","WP_011551625.1",76.2781391866679,-1.6031909480249,0.518942239122363,-3.08934372105887,0.00200599211462966,0.00962624767542687,"MXAN_RS07355",41358960,"MXAN_RS07355","MXAN_1514","hypothetical protein",-1
"1167","WP_011551626.1",59.1491702213267,-0.359765184111366,0.554074182838554,-0.649308694132379,0.516138867293132,0.652009703852791,"MXAN_RS07360",41358961,"MXAN_RS07360","MXAN_1515","PaaI family thioesterase",0
