reaction_id	flux_value	classification	y_f	y_r
rxn03174_c	0.0	low	1.0	0.0
rxn03918_c	0.0	moderate		
rxn05161_c	0.0	low	1.0	0.0
rxn00549_c	0.5	moderate		
rxn03951_c	0.0	low	1.0	0.0
rxn01022_c	0.0	moderate		
rxn05418_c	0.0	low	1.0	0.0
rxn00506_c	0.0	low	1.0	0.0
rxn01894_c	0.0	moderate		
rxn10060_c	0.0	low	1.0	0.0
rxn02933_c	0.0	high	0.0	0.0
rxn00727_c	0.0	low	1.0	0.0
rxn10307_c	0.0	high	0.0	0.0
rxn05617_c	0.0	moderate		
rxn03852_c	0.0	moderate		
rxn12638_c	0.0	moderate		
rxn01354_c	0.0	low	1.0	0.0
rxn02268_c	0.0	moderate		
rxn00305_c	1.0	high	1.0	0.0
rxn01445_c	0.0	low	1.0	0.0
rxn05248_c	0.0	low	1.0	0.0
rxn00612_c	0.0	low	1.0	0.0
rxn08766_c	0.0	low	1.0	0.0
rxn05539_c	0.0	low	1.0	0.0
rxn08841_c	0.0	low	1.0	0.0
rxn05461_c	0.0	low	1.0	0.0
rxn03586_c	0.0	low	1.0	0.0
rxn02159_c	0.0	low	1.0	0.0
rxn10222_c	0.0	low	1.0	0.0
rxn00269_c	3.2857143	high	1.0	0.0
rxn10263_c	0.0	low	1.0	0.0
rxn02791_c	0.0	moderate		
rxn05466_c	-5.7857143	moderate		
rxn08814_c	0.0	low	1.0	0.0
rxn00917_c	0.0	moderate		
rxn08845_c	0.0	low	1.0	0.0
rxn00395_c	1.0	high	1.0	0.0
rxn01438_c	0.0	moderate		
rxn00300_c	0.0	low	1.0	0.0
rxn01925_c	0.0	low	1.0	0.0
rxn02798_c	0.0	moderate		
rxn00999_c	0.0	moderate		
rxn05174_c	0.0			
rxn08799_c	0.0	low	1.0	0.0
rxn00433_c	0.0			
rxn05957_c	0.0	low	1.0	0.0
rxn05335_c	0.0	moderate		
rxn03419_c	0.0	low	1.0	0.0
rxn08551_c	0.0	low	1.0	0.0
rxn10256_c	0.0	moderate		
rxn00679_c	0.0	high	0.0	0.0
rxn01516_c	0.0	low	1.0	0.0
rxn00758_c	0.0	low	1.0	0.0
rxn10314_c	0.0	high	0.0	0.0
rxn09111_c	0.0	low	1.0	0.0
rxn06078_c	0.0	low	1.0	0.0
rxn00471_c	1.0	low	0.0	0.0
rxn05607_c	0.0	moderate		
rxn05595_c	1000.0	moderate		
rxn05348_c	0.0	moderate		
rxn05435_c	0.0	low	1.0	0.0
rxn03245_c	0.0	low	1.0	0.0
rxn01504_c	0.0	low	1.0	0.0
rxn00907_c	0.0	low	1.0	0.0
rxn05458_c	0.0	low	1.0	0.0
rxn08300_c	0.0	moderate		
rxn02404_c	0.0	low	1.0	0.0
rxn01644_c	0.0	low	1.0	0.0
rxn08297_c	0.0	moderate		
rxn02911_c	0.0	low	1.0	0.0
rxn05450_c	0.0	low	1.0	0.0
rxn12847_c	0.0	moderate		
rxn05410_c	0.0	low	1.0	0.0
rxn05443_c	0.0	low	1.0	0.0
rxn09114_c	0.0	low	1.0	0.0
rxn09188_c	-1.0	high	0.0	1.0
rxn08822_c	0.0	low	1.0	0.0
rxn05030_c	0.0	low	1.0	0.0
rxn10208_c	0.0	low	1.0	0.0
rxn01620_c	0.0	low	1.0	0.0
rxn05345_c	0.0	moderate		
rxn02071_c	0.0	high	0.0	0.0
rxn01522_c	0.0	low	1.0	0.0
rxn00336_c	1.0	high	1.0	0.0
rxn05422_c	0.0	low	1.0	0.0
rxn03891_c	0.0	high	0.0	0.0
rxn01465_c	0.0	moderate		
rxn10204_c	0.0	low	1.0	0.0
rxn01833_c	0.0	moderate		
rxn05145_c	26.0	low	0.0	0.0
rxn01872_c	-497.85714	high	0.0	1.0
rxn01301_c	1000.0	moderate		
rxn01643_c	0.0	moderate		
rxn00248_c	504.14286	high	1.0	0.0
rxn08844_c	0.0	low	1.0	0.0
rxn05385_c	0.0	low	1.0	0.0
rxn00707_c	-2.0	low	0.0	0.0
rxn00369_c	0.0	low	1.0	0.0
rxn01637_c	-1.0	moderate		
rxn00566_c	3.2857143	high	1.0	0.0
rxn00708_c	0.0	low	1.0	0.0
rxn07433_c	0.0	low	1.0	0.0
rxn01269_c	0.0	moderate		
rxn00392_c	0.0	low	1.0	0.0
rxn00747_c	0.5	moderate		
rxn01334_c	0.0	moderate		
rxn00830_c	0.0	moderate		
rxn01108_c	2.0	high	1.0	0.0
rxn05219_c	2.0	moderate		
rxn03406_c	0.0	moderate		
rxn00029_c	0.0	low	1.0	0.0
rxn00609_c	0.0	high	0.0	0.0
rxn06673_c	0.0	low	1.0	0.0
rxn12646_c	0.0	moderate		
rxn06777_c	0.0	high	0.0	0.0
rxn03869_c	0.0	low	1.0	0.0
rxn05256_c	1.0	high	1.0	0.0
rxn05448_c	0.0	low	1.0	0.0
rxn05446_c	0.0	low	1.0	0.0
rxn02175_c	0.0	low	1.0	0.0
rxn02835_c	0.0	low	1.0	0.0
rxn02774_c	0.0			
rxn01675_c	0.0	high	0.0	0.0
rxn08839_c	0.0	low	1.0	0.0
rxn01575_c	0.0	moderate		
rxn01454_c	0.0	low	1.0	0.0
rxn05150_c	0.0	low	1.0	0.0
rxn10335_c	0.0			
rxn05398_c	0.0	moderate		
rxn01315_c	0.0			
rxn03240_c	0.0	low	1.0	0.0
rxn09562_c	1.0	moderate		
rxn01501_c	0.0	moderate		
rxn00555_c	0.0	low	1.0	0.0
rxn03080_c	0.0	moderate		
rxn10237_c	0.0	low	1.0	0.0
rxn10011_c	0.0	moderate		
rxn12644_c	0.0	moderate		
rxn00147_c	0.0			
rxn00737_c	0.0	moderate		
rxn08843_c	0.0	low	1.0	0.0
rxn01256_c	0.0	low	1.0	0.0
rxn00213_c	1.5	moderate		
rxn01629_c	0.0	low	1.0	0.0
rxn00777_c	0.0	low	1.0	0.0
rxn05164_c	0.0	moderate		
rxn01740_c	0.0			
rxn00190_c	1.0	high	1.0	0.0
rxn05327_c	0.0	low	1.0	0.0
rxn01444_c	0.0	low	1.0	0.0
rxn05655_c	0.0	moderate		
rxn02314_c	0.0	low	1.0	0.0
rxn08801_c	0.0	low	1.0	0.0
rxn02275_c	0.0	low	1.0	0.0
rxn00251_c	0.0	low	1.0	0.0
rxn00139_c	0.0	low	1.0	0.0
rxn00790_c	0.0	low	1.0	0.0
rxn07976_c	0.0	moderate		
rxn00237_c	2.0	high	1.0	0.0
rxn00463_c	0.0	moderate		
rxn01489_c	0.0	moderate		
rxn10342_c	0.0			
rxn08311_c	0.0	low	1.0	0.0
rxn03175_c	0.0	low	1.0	0.0
rxn10264_c	0.0	low	1.0	0.0
rxn03421_c	0.0	low	1.0	0.0
rxn10227_c	0.0	low	1.0	0.0
rxn01146_c	0.0	high	0.0	0.0
rxn05336_c	0.0	low	1.0	0.0
rxn09210_c	0.0	low	1.0	0.0
rxn00285_c	256.35714	high	1.0	0.0
rxn00182_c	0.0	low	1.0	0.0
rxn05567_c	0.0	moderate		
rxn01642_c	0.0	low	1.0	0.0
rxn00132_c	0.0	low	1.0	0.0
rxn01045_c	0.0	low	1.0	0.0
rxn08893_c	0.0	low	1.0	0.0
rxn06864_c	0.0	moderate		
rxn00712_c	0.0	low	1.0	0.0
rxn08615_c	0.0	low	1.0	0.0
rxn08815_c	0.0	low	1.0	0.0
rxn00126_c	0.0	high	0.0	0.0
rxn01518_c	0.0	moderate		
rxn12844_c	3.2857143	moderate		
rxn08798_c	0.0	low	1.0	0.0
rxn08119_c	0.0	moderate		
rxn08306_c	0.0	low	1.0	0.0
rxn08821_c	0.0	low	1.0	0.0
rxn00206_c	0.0	high	0.0	0.0
rxn05381_c	0.0	moderate		
rxn01871_c	0.0	low	1.0	0.0
rxn05340_c	0.0	low	1.0	0.0
rxn02143_c	0.0	moderate		
rxn00405_c	0.0	high	0.0	0.0
rxn04704_c	0.0	high	0.0	0.0
rxn00299_c	0.0	low	1.0	0.0
rxn08546_c	0.0	low	1.0	0.0
rxn00756_c	0.0	low	1.0	0.0
rxn05389_c	0.0	low	1.0	0.0
rxn05735_c	0.0	low	1.0	0.0
rxn02484_c	0.0	moderate		
rxn01133_c	0.0	high	0.0	0.0
rxn12639_c	0.0	moderate		
rxn03159_c	0.0	low	1.0	0.0
rxn00875_c	1.0	moderate		
rxn01000_c	0.0	low	1.0	0.0
rxn00647_c	0.0	low	1.0	0.0
rxn03397_c	0.0	high	0.0	0.0
rxn08120_c	0.0	moderate		
rxn00363_c	0.0	low	1.0	0.0
